Handle,ObjType,TextString,Layer,TextHeight
BEE1D8,DBText,"Theor. N.W.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1D9,DBText,"Theor. S.W.1/4 Sec. 36-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1DA,DBText,"Theor. N.W.1/4 Sec. 36-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1DB,DBText,"Theor. N.E.1/4 Sec. 35-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1DC,DBText,"Theor. S.E.1/4 Sec. 35-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1DE,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E0,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E2,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E4,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E6,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E8,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEEDB7,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BEEDB9,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BEEDBB,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BEEDBD,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BEEDBF,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BF5EBC,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5EBD,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5EBE,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5F98,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Buried Pipe (3)}",AS-PIPE-UG,9.990429872970804
BF5F9B,MText,"Rge. 3",D-TXT,13.993889979999587
BF5F9C,MText,"Rge. 2",D-TXT,13.993889979999587
BF5F9D,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5FA2,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5FA3,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5FA4,MText,"Twp. 65",D-TXT,13.993889979999587
BF5FA5,MText,"Twp. 66",D-TXT,13.993889979999587
BF5FA6,MText,"Twp. 65",D-TXT,13.993889979999587
BF5FA7,MText,"Twp. 66",D-TXT,13.993889979999587
BF600F,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF6011,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF6018,DBText,"Theor. S.E.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.991271399999455
BF601F,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BF6026,MText,"Rge. 3",D-TXT,13.993889979999587
BF6027,MText,"Rge. 2",D-TXT,13.993889979999587
BF6029,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Buried Pipes(2)}",AS-PIPE-UG,9.990429872970804
BF602B,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Buried Pipes(2)}",AS-PIPE-UG,9.990429872970804
BF607A,DBText,"Theor. N.E.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.999999999999414
BF607B,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BF66BD,DBText,"808.0",S-T7,9.995635699999786
BF66BE,DBText,"809.0",S-T7,9.995635699999786
BF66BF,DBText,"810.0",S-T7,9.995635699999786
BF66C0,DBText,"811.0",S-T7,9.995635699999786
BF66C1,DBText,"812.0",S-T7,9.995635699999786
BF66C2,DBText,"813.0",S-T7,9.995635699999786
BF66C3,DBText,"807.0",S-T7,9.995635699999786
BF66C4,DBText,"806.0",S-T7,9.995635699999786
BF66C5,DBText,"814.0",S-T7,9.995635699999786
BF66C6,DBText,"815.0",S-T7,9.995635699999786
BF66C7,DBText,"816.0",S-T7,9.995635699999786
BF66C8,DBText,"817.0",S-T7,9.995635699999786
BF66C9,DBText,"818.0",S-T7,9.995635699999786
BF66CA,DBText,"819.0",S-T7,9.995635699999786
BF66CB,DBText,"820.0",S-T7,9.995635699999786
BF66CC,DBText,"821.0",S-T7,9.995635699999786
BF66CD,DBText,"822.0",S-T7,9.995635699999786
BF66CE,DBText,"823.0",S-T7,9.995635699999786
BF66CF,DBText,"824.0",S-T7,9.995635699999786
BF66D0,DBText,"825.0",S-T7,9.995635699999786
BF66D1,DBText,"826.0",S-T7,9.995635699999786
BF66D2,DBText,"827.0",S-T7,9.995635699999786
BF66D3,DBText,"828.0",S-T7,9.995635699999786
BF66D4,DBText,"829.0",S-T7,9.995635699999786
BF66D5,DBText,"830.0",S-T7,9.995635699999786
BF66D6,DBText,"831.0",S-T7,9.995635699999786
BF66D7,DBText,"832.0",S-T7,9.995635699999786
BF66D8,DBText,"833.0",S-T7,9.995635699999786
BF66D9,DBText,"834.0",S-T7,9.995635699999786
BF66DA,DBText,"835.0",S-T7,9.995635699999786
BF66DB,DBText,"836.0",S-T7,9.995635699999786
BF66DC,DBText,"837.0",S-T7,9.995635699999786
BF66DD,DBText,"838.0",S-T7,9.995635699999786
BF66DE,DBText,"839.0",S-T7,9.995635699999786
BF66DF,DBText,"840.0",S-T7,9.995635699999786
BF66E0,DBText,"841.0",S-T7,9.995635699999786
BF66E1,DBText,"842.0",S-T7,9.995635699999786
