Handle,ObjType,TextString,Layer,TextHeight
BD1EF9,MText,"30m Buffer",P-D56-EPZ,9.99482000000003
BD2267,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994820000000034
BD227C,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.991712000000069
BD3AB2,MText,"L.S. 1",L-SECTION-LSD,9.994820000000033
BD3AB3,MText,"\pxqr;L.S. 2",L-SECTION-LSD,9.994820000000033
BD3AB5,MText,"L.S. 8",L-SECTION-LSD,9.994820000000033
BD3AB6,MText,"\pxqr;L.S. 7",L-SECTION-LSD,9.994820000000033
C04A36,MText,"Theor. S.E.1/4 Sec. 12-64-24-W.5M.",C-SYMBOL,19.989640000000072
C141A0,MText,"P.P 1",AS-POWER-T,9.99482000000003
C141A2,MText,"P.P 2",AS-POWER-T,9.99482000000003
C141B5,MText,"P.P 3",AS-POWER-T,9.99482000000003
C141B6,MText,"P.P 4",AS-POWER-T,9.99482000000003
C141B8,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;7m High Grade \PGravel Road}",T-TEXT,9.99482000000003
