Handle,ObjType,Content,Layer,Extra
BD927A,BlockReference,"L-SECLBL",L-SECLBL,1
BD9280,BlockReference,"L-SECLBL",L-SECLBL,1
BD9286,BlockReference,"L-SECLBL",L-SECLBL,1
BD928C,BlockReference,"L-SECLBL",L-SECLBL,1
BD9292,BlockReference,"L-SECLBL",L-SECLBL,1
BE1E5F,MText,"Lot 1 Block 1 Plan 022 2642",L-TITLEDB-T,9.999999999999936
BE1E61,MText,"C. of T.",L-TITLEDB-T,9.999999999999936
BE1E63,MText,"C. of T.",L-TITLEDB-T,9.999999999999936
BE1E65,MText,"C. of T.",L-TITLEDB-T,9.999999999999936
BE2825,MText,"Lot 1 Block 1 Plan 082 4394",L-TITLEDB-T,9.999999999999936
BE2827,MText,"Lot 1 Block 1 Plan 912 3263",L-TITLEDB-T,9.999999999999936
BE2829,MText,"Lot 1 Block 1 Plan 952 1162",L-TITLEDB-T,9.999999999999936
BE282B,MText,"Lot 1 Block 1 Plan 112 4850",L-TITLEDB-T,9.999999999999936
BE282D,MText,"Lot 1 Plan 902 3350",L-TITLEDB-T,9.999999999999936
BE282F,MText,"Lot 1 Block 1 Plan 962 2319",L-TITLEDB-T,9.999999999999936
BE2831,MText,"Lot 2 Block 1 Plan 772 1789",L-TITLEDB-T,9.999999999999936
BE2833,MText,"Lot 1 Block 1 Plan 772 1789",L-TITLEDB-T,9.999999999999936
BE2835,MText,"Lot 1 Plan 912 1889",L-TITLEDB-T,9.999999999999936
BE3BFF,MText,"Lot A Block A Plan 152 RS",L-TITLEDB-T,9.999999999999936
BE3C10,BlockReference,"GABD",F-WS-S,5.000000000000013
BE5016,MText,"Lot 1 Block 1 Plan 962 3140",L-TITLEDB-T,9.999999999999936
BE59E1,AlignedDimension,"30.48 Road  2524 NY",L-TITLEDB-T,Compass 5 000
BE5A05,AlignedDimension,"15.24 Road  2677 NY",L-TITLEDB-T,Compass 5 000
BE5A48,AlignedDimension,"30.48 Road  1328 RS",L-TITLEDB-T,Compass 5 000
