Handle,ObjType,Content,Layer,Extra
AF3D70,BlockReference,"L-SECLBL",L-SECLBL,0.9997040219039998
AF3D76,BlockReference,"*U22",AS-SURFACE IMPACT,0.9997040219039998
AF3D85,BlockReference,"*U23",AS-OWNER,0.9997040219039998
AF3D9A,MText,"CNRL 4-15 (Surface) MSL 063057",C-WS-T,9.99704021904
AF3D9C,AlignedDimension,"Cenovus  P/L R/W  042404",F-RW-T,Compass 5 000
AF3D9D,AlignedDimension,"CNRL  P/L R/W  072 6158  060824",C-RW-T,Compass 5 000
AF3DA1,MText,"CNRL 4-15 (Surface) MSL 040553(To be Cancelled)",C-WS-T,9.99704021904
AF3DA5,MText,"L.S. 3",L-SECTION-LSD,9.997040219039999
AF3DA7,MText,"L.S. 4",L-SECTION-LSD,9.997040219039999
AF3DA9,MText,"L.S. 6",L-SECTION-LSD,9.997040219039999
AF3DAB,MText,"L.S. 5",L-SECTION-LSD,9.997040219039999
AF3DB0,BlockReference,"GAS",C-WS-S,4.99926
AF3FBB,BlockReference,"*U26",AS-WILDLIFE-BLOCK,0.9998520000000001
AF42A4,BlockReference,"*U27",P-75m DRAINAGE AREA,1
AF468D,BlockReference,"TEMP",L-MON,4.999999999999999
AF468F,BlockReference,"TEMP",L-MON,4.999999999999999
AF47BA,BlockReference,"xing2",P-CROSSINGS,0.9995092307373601
AF48C5,BlockReference,"xing2",P-CROSSINGS,0.9995092307373601
AF49E1,DBText,"51.2 (Tie)",L-BD,9.998520000000001
AF49E2,DBText,"25°23'",L-BD,9.998520000000001
AF49E5,DBText,"54°59'",L-BD,9.998520000000001
AF49E8,DBText,"706.3 (Tie)",L-BD,9.998520000000001
AF49E9,DBText,"103°08'",L-BD,9.998520000000001
AF4B13,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
AF4BA4,DBText,"Government Road Allowance",L-ROAD-T,9.998520000000001
AF4BA5,DBText,"(Undeveloped)",T-TEXT,9.998520000000001
AF4BAC,DBText,"Government Road Allowance",L-ROAD-T,9.998520000000001
AF4BAD,DBText,"(Undeveloped)",T-TEXT,9.998520000000001
AF4CB2,MText,"30m Buffer",P-BUFFER-T,9.998520000000001
B17D8D,DBText,"S.W.1/4 Sec. 15-71-12-W.6M.",C-SYMBOL,19.997040000000002
B17D8E,DBText,"Access Road = 0.252 ha  0.62 Ac.",L-AREAREQUIRED,10.998372000000002
B1990E,BlockReference,"GABD",F-WS-S,4.9992600000000005
B19913,MText,"3-15 (Abd.)",F-WS-T,9.998520000000001
B1B3BC,MText,"Kamisak Lake",T-WATER-T,9.998520000000001
B1B3BD,AlignedDimension,"CNRL  A/R  040553 (To be Cancelled)",C-WS-T,Compass 5 000
B1B425,DBText,"2°16'",L-BD,9.998520000000001
B1B429,DBText,"100°39'",L-BD,9.998520000000001
B1DD72,MText,"Dugout",T-WATER-T,9.998520000000001
B2A88C,BlockReference,"Disclaimer_Legal",C-AR-T,0.3
