Handle,ObjType,Content,Layer,Extra
BC730C,BlockReference,"L-SECLBL",L-SECLBL,0.999576
BC7314,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99576839999991
BC7315,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99576839999991
BC73A0,AlignedDimension,"Fortis  Powerline R/W  120074",F-EZE-T,Compass 5 000
BC73A1,AlignedDimension,"Obsidian  A/R  890381",C-AR-T,Compass 5 000
BC73A2,MText,"Obsidian Satellite Site MSL 113083 (Expired, To be Cancelled)",C-WS-T,9.995768399999916
BC73A5,MText,"Obsidian 1-17 (Surface) MSL 101480",C-WS-T,9.995768399999916
BC73A7,AlignedDimension,"Obsidian  A/R  101480",C-WS-T,Compass 5 000
BC73A8,MText,"Obsidian 8-17 (Surface) MSL 890434",C-WS-T,9.995768399999916
BC73AA,BlockReference,"GAS",C-WS-S,4.997884199999958
BC73AB,AlignedDimension,"Obsidian  P/L R/W  112095  To be Cancelled)",C-RW-T,Compass 5 000
BC73AC,AlignedDimension,"Obsidian  P/L R/W  912 1509  910136",C-RW-T,Compass 5 000
BC73AD,AlignedDimension,"Obsidian  P/L R/W  912 0075  900078",C-RW-T,Compass 5 000
BC73B0,BlockReference,"GAS",C-WS-S,4.999999999999958
BC73B1,BlockReference,"GAS",C-WS-S,4.999999999999958
BC73B2,BlockReference,"GAS",C-WS-S,4.999999999999958
BC73B3,BlockReference,"GAS",C-WS-S,4.999999999999958
BC73B4,BlockReference,"GAS",C-WS-S,4.999999999999958
BC73B5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999958
BC73B6,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999958
BC73B7,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73B8,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73B9,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73BA,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73BB,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73BC,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73BD,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73BE,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73BF,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C0,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C1,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C2,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C3,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C4,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C5,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C6,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C7,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC73C8,BlockReference,"PIG",AS-SYMBOL,4.999999999999958
BC73C9,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC816A,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC816B,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC816C,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC816D,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC816E,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC816F,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8170,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8171,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8172,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8173,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8174,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8175,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8176,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8177,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8178,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC8179,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC817A,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC817B,BlockReference,"PIG",AS-SYMBOL,4.997884199999971
BC817C,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC817D,BlockReference,"GAS",C-WS-S,4.997884199999971
BC817E,BlockReference,"GAS",C-WS-S,4.997884199999971
BC817F,BlockReference,"GAS",C-WS-S,4.997884199999971
BC8180,BlockReference,"GAS",C-WS-S,4.997884199999971
BC8181,BlockReference,"GAS",C-WS-S,4.997884199999971
BC8182,MText,"Rogers Tower Site DML 020023",F-WS-T,9.991574275536786
BC8187,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC8188,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC8189,BlockReference,"RISER",AS-SYMBOL,4.999999999999958
BC818A,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC818B,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC818C,BlockReference,"RISER",AS-SYMBOL,4.997884199999971
BC81A4,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999865
BC81B1,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,5.000000050021108
BC81B2,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,5.000000050021108
BC81B5,MText,"40cm  Poplar",T-BUSH-T,9.995768399999942
BC81B7,MText,"40cm  Poplar",T-BUSH-T,9.995768399999942
