Handle,ObjType,Content,Layer,Extra
9D8297,BlockReference,"FDI",L-MON,4.999999999999897
9D82A1,BlockReference,"FDI",L-MON,4.999999999999897
9D82A6,BlockReference,"FDI",L-MON,4.999999999999897
9D82B0,BlockReference,"FDI",L-MON,4.999999999999897
9D82B5,BlockReference,"FDI",L-MON,4.999999999999897
9D82BA,BlockReference,"FDI",L-MON,4.999999999999897
9D82BF,BlockReference,"FDI",L-MON,4.999999999999897
9D82C4,BlockReference,"FDI",L-MON,4.999999999999897
9D82C9,BlockReference,"FDI",L-MON,4.999999999999897
9D82D8,BlockReference,"FDI",L-MON,4.999999999999897
9D82DD,BlockReference,"FDI",L-MON,4.999999999999897
9D82EC,BlockReference,"FDI",L-MON,4.999999999999897
9D839A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8E42,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8E5F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8E78,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8E89,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8E92,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8E97,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8EBD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8ECA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8EE3,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8EEC,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8EF5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F0A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F1B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F20,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F25,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F46,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F4B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F50,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F61,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D8F66,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D9A0A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D9A13,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D9A1C,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D9A25,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D9A2E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D9A5B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D9A68,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9D9A71,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999897
9DB939,BlockReference,"WITF",L-MON,4.999999999999897
9DDEA4,MText,"800m Trumpeter  Swan Buffer",AS-BOUNDARY,9.99778910000024
9DDEA6,MText,"500m Trumpeter  Swan Buffer",AS-BOUNDARY,9.99778910000024
9DDEA8,BlockReference,"L-SECLBL",L-SECLBL,0.99978011
9DDF16,AlignedDimension,"CNRL  P/L R/W  Compass Geomatics",C-RW-T,Compass 5 000
9DDF17,MText,"Husky Riser Site",F-WS-T,9.997830000000043
9DDF19,MText,"CNRL Water Pit",C-WS-T,9.999999999999947
9DDF1C,AlignedDimension,"Cardinal  A/R",F-AR-T,Compass 5 000
9DDF1D,MText,"Cardinal 8-26(HZ)",F-WS-T,9.99778910000024
9DDF1F,MText,"Cardinal 12-26",F-WS-T,9.99778910000024
9DDF21,DBText,"Cultivation",T-TEXT,9.997789100000222
9DDF22,MText,"Low Area (Farmed Through)",T-TEXT,9.997789100000233
9DDF23,MText,"Buried Pipe",AS-PIPE-UG-T,9.997789100000233
9DDF25,MText,"Hay Creek",T-WATER-T,10.000000000000224
9DDF27,DBText,"Bush",T-BUSH-T,9.997789100000222
9DDF29,BlockReference,"GAS",F-WS-S,4.998898499999856
9DDF2A,MText,"Fd.I. Mp. E.1/4 27",L-MON,9.99778910000024
9DDF2C,MText,"Est. Position N.E.27",L-MON,9.99778910000024
9DDF37,DBText,"(High Grade Gravel)",T-TEXT,9.99999999999981
9DDF38,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999981
9DDF45,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999906
9DDF48,MText,"Low Area (Farmed  Through)",T-TEXT,9.997789100000233
9DDF4B,BlockReference,"GAS",C-WS-S,4.998898499999856
9DDF53,BlockReference,"*U46",AS-OWNER,0.99978011
9DDF68,AlignedDimension,"Cardinal  P/L R/W  172 0413",F-RW-T,Compass 5 000
9DDF69,AlignedDimension,"Cardinal  P/L R/W  002 0440",F-RW-T,Compass 5 000
9DDF6A,MText,"CNRL ESD Site by Compass Geomatics",C-WS-T,9.999999999999947
9DDF70,BlockReference,"GAS",F-WS-S,4.998898499999856
9DDF71,AlignedDimension,"Husky  P/L R/W  Compass Geomatics  Constructed)",F-RW-T,Compass 5 000
9DDF72,MText,"Cultivation",T-TEXT,9.997789100000228
9DDF73,BlockReference,"GAS",C-WS-S,4.998898499999856
9DDF81,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999906
9DDF86,BlockReference,"GAS",C-WS-S,4.998898499999856
9DDF87,BlockReference,"GAS",C-WS-S,4.998898499999856
9DDF88,BlockReference,"GAS",C-WS-S,4.998898499999856
9DDF89,AlignedDimension,"20.12 Road  7439 AU  Constructed)",L-TITLEDB-T,Compass 5 000
9DDF8B,AlignedDimension,"Cardinal  A/R",F-AR-T,Compass 5 000
9DDF8C,AlignedDimension,"Cardinal  P/L R/W  172 0414",F-RW-T,Compass 5 000
9DDF8D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894999999929
