Handle,ObjType,Content,Layer,Extra
BC520B,BlockReference,"FDI",L-MON,4.997449749999987
BC5210,BlockReference,"fdspike",L-MON,4.997449749999987
BC5215,BlockReference,"fdspike",L-MON,4.997449749999987
BC521A,BlockReference,"FDI",L-MON,4.997449749999987
BC521F,BlockReference,"FDI",L-MON,4.997449749999987
BC5224,BlockReference,"FDI",L-MON,4.997449749999987
BC5229,BlockReference,"FDI",L-MON,4.997449749999987
BC522E,BlockReference,"FDI",L-MON,4.997449749999987
BC5233,BlockReference,"plspike",L-MON,4.997449749999987
BC5238,BlockReference,"plspike",L-MON,4.997449749999987
BC523D,BlockReference,"fdspike",L-MON,4.997449749999987
BC5242,BlockReference,"plspike",L-MON,4.997449749999987
BC5247,BlockReference,"plspike",L-MON,4.997449749999987
BC524C,BlockReference,"fdspike",L-MON,4.997449749999987
BC5251,BlockReference,"plspike",L-MON,4.997449749999987
BC5256,BlockReference,"plspike",L-MON,4.997449749999987
BC525B,BlockReference,"plspike",L-MON,4.997449749999987
BC5C71,BlockReference,"GAS",C-WS-S,4.999999999999982
BC81D4,BlockReference,"L-SECLBL",L-SECLBL,0.9994869999999981
BC81DA,BlockReference,"L-SECLBL",L-SECLBL,0.9994869999999981
BC81E0,BlockReference,"L-SECLBL",L-SECLBL,0.9994869999999981
BC81E6,MText,"Theor. N.E.1/4  Sec. 28-48-14-W.5M.",C-SYMBOL,19.999999999999947
BC81E7,MText,"Theor. N.W.1/4  Sec. 27-48-14-W.5M.",C-SYMBOL,19.999999999999947
BC81E8,MText,"Theor. S.W.1/4  Sec. 34-48-14-W.5M.",C-SYMBOL,19.999999999999947
BC81EC,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999968
BC81EE,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999968
BC81F0,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999968
BC81F2,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999973
BC81F3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999973
BC81FC,MText,"L.S. 9",L-SECTION-LSD,9.994869999999967
BC81FE,MText,"L.S. 10",L-SECTION-LSD,9.994869999999967
BC8200,MText,"L.S. 16",L-SECTION-LSD,9.994869999999967
BC8202,MText,"L.S. 15",L-SECTION-LSD,9.994869999999967
BC8204,MText,"L.S. 11",L-SECTION-LSD,9.994869999999969
BC8206,MText,"L.S. 12",L-SECTION-LSD,9.994869999999969
BC8208,MText,"L.S. 14",L-SECTION-LSD,9.994869999999969
BC8209,MText,"L.S. 13",L-SECTION-LSD,9.994869999999969
BC820B,MText,"L.S. 3",L-SECTION-LSD,9.994869999999969
BC820D,MText,"L.S. 4",L-SECTION-LSD,9.994869999999969
BC820F,MText,"L.S. 6",L-SECTION-LSD,9.994869999999969
BC8211,MText,"L.S. 5",L-SECTION-LSD,9.994869999999969
BC8254,AlignedDimension,"Obsidian  A/R  122143  to be Canceled)",C-AR-T,Compass 5 000
BC8257,MText,"Obsidian 11-27 (Surface) MSL 781253",C-WS-T,9.994869999999969
BC8259,MText,"Obsidian 11-27 (Surface) MSL 850878",C-WS-T,9.994869999999969
BC825B,MText,"Obsidian 9-28 (Surface) MSL 851588",C-WS-T,9.994869999999969
BC825D,MText,"Obsidian 11-27 (Surface) MSL 851847",C-WS-T,9.994869999999969
BC825F,MText,"Obsidian 16-28 (Surface) MSL 852845",C-WS,9.994869999999969
BC8262,AlignedDimension,"Obsidian  P/L R/W  012 2254  001396",C-RW-T,Compass 5 000
BC8263,AlignedDimension,"Obsidian  P/L R/W  012 2254  001396",C-RW-T,Compass 5 000
BC8264,AlignedDimension,"Cenovus  P/L R/W  051416",F-RW-T,Compass 5 000
BC8265,AlignedDimension,"Cenovus  P/L R/W  051416",F-RW-T,Compass 5 000
BC8266,AlignedDimension,"Obsidian  P/L R/W  082602",C-RW-T,Compass 5 000
BC8268,AlignedDimension,"Obsidian  P/L R/W  992 1721  982289",C-RW-T,Compass 5 000
BC8269,AlignedDimension,"Obsidian  P/L R/W  992 1721  982354",C-RW-T,Compass 5 000
BC826A,AlignedDimension,"Obsidian  P/L R/W  094 1273  991577",C-RW-T,Compass 5 000
BC826B,AlignedDimension,"60.00 Road  962 1787",L-TITLEDB-T,Compass 5 000
BC826C,AlignedDimension,"60.00 Road  962 1787",L-TITLEDB-T,Compass 5 000
BC826D,AlignedDimension,"Obsidian  P/L R/W  130523",C-RW-T,Compass 5 000
BC8271,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.994869999999969
BC8273,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.994869999999969
BC8275,AlignedDimension,"Vermillon  A/R  890170",F-AR-T,Compass 5 000
BC8276,AlignedDimension,"Vermillon  A/R  890170",F-AR-T,Compass 5 000
BC827E,BlockReference,"Gabd.15d85efd0b",F-WS-S,4.999999999999985
BC827F,MText,"Saturn 11-27 (Abd.)",F-WS-T,9.99999999999997
BC8281,BlockReference,"GAS",F-WS-S,4.999999999999985
BC8282,BlockReference,"GAS",F-WS-S,4.999999999999985
BC8283,BlockReference,"Gabd.15d85efd0b",F-WS-S,4.999999999999985
BC8284,MText,"Cenovus 11-27 (Abd.)",F-WS-T,9.99999999999997
BC8286,BlockReference,"GAS",F-WS-S,4.999999999999985
BC8288,MText,"Imperial 11-27 (Abd.)",F-WS-T,9.99999999999997
BC828B,BlockReference,"GAS",C-WS-S,4.999999999999985
BC828C,BlockReference,"GAS",C-WS-S,4.999999999999985
BC828E,BlockReference,"GAS",C-WS-S,4.999999999999985
BC828F,MText,"Obsidian 11-28 (Surface) MSL851554",C-WS-T,9.99999999999997
BC8291,AlignedDimension,"Obsidian  A/R  851588",C-AR-T,Compass 5 000
BC8292,AlignedDimension,"Obsidian  A/R  781253",C-WS-T,Compass 5 000
BCAF79,DBText,"RP",35,9.99489949999997
BCB083,BlockReference,"*U91",DETAIL-T,1
BCB0C4,MText,"Fd.I. c.s.",L-MON,9.999999999999972
BCDB0B,AlignedDimension,"25.00 A/R",P-TXT,Compass 5 000
BCDB3C,AlignedDimension,"25.00 A/R",P-TXT,Compass 5 000
BCE4EF,DBText,"89°55'25''",L-BD,9.994899499999972
BCE4F0,DBText,"124.00 (Tie)",L-BD,9.994899499999972
BCE4F4,DBText,"45°51'55''",L-BD,9.994899499999974
BCE50E,DBText,"45°51'55''",L-BD,9.994899499999974
BCE526,DBText,"4m Medium Grade Gravel",T-TEXT,9.994899499999974
BCE527,MText,"Culvert (300mm dia., Length 12.1m)",T-TEXT,9.994899499999974
BCED87,MText,"Culvert (300mm dia., Length 12.1m)",T-TEXT,9.994899499999974
BCED96,MText,"SEE DETAIL 'B'",DETAIL-T,15.991839199999974
BCEDA7,BlockReference,"*U91",DETAIL-T,1
BCFF7D,MText,"30cm Spruce  & Poplar",T-BUSH-T,9.994899499999974
BCFF82,DBText,"90°07'35''",L-BD,9.994899499999974
