Handle,ObjType,Content,Layer,Extra
AF7588,BlockReference,"A$C13A22376",AS-ROADS,1
AF758E,BlockReference,"A$C60BA4713",T-BUSH,1
AF75CC,BlockReference,"L-SECLBL",L-SECLBL,0.999641999999997
AF75DA,MText,"L.S. 11",L-SECTION-LSD,9.99641999999993
AF75DC,MText,"L.S. 12",L-SECTION-LSD,9.99641999999993
AF75DE,MText,"L.S. 14",L-SECTION-LSD,9.99641999999993
AF75DF,MText,"L.S. 13",L-SECTION-LSD,9.99641999999993
AF7627,BlockReference,"HRV",CG-NOTES,0.999641999999997
AF7630,MText,"Wooded  Coniferous Fen",WETLAND-T,9.996329999999974
AF7632,MText,"Wooded  Coniferous Fen",WETLAND-T,9.996329999999974
AF7634,MText,"Wooded  Marsh Swamp",WETLAND-T,9.996329999999974
AF7636,DBText,"N.E.1/4 Sec. 25-76-18-W.4M.",C-SYMBOL,19.992839999999926
AF7638,DBText,"Government Road Allowance",L-ROAD-T,9.996419999999961
AF7639,DBText,"Government Road Allowance",L-ROAD-T,9.996419999999963
AF763A,DBText,"N.W.1/4 Sec. 25-76-18-W.4M.",C-SYMBOL,19.992839999999926
AF763B,DBText,"Area Required = 1.441 ha  3.56 Ac.",L-AREAREQUIRED,10.996061999999963
AF7649,MText,"Buried Pipe",AS-PIPE-UG-T,9.996386099999976
AF764D,MText,"Buried Pipe",AS-PIPE-UG-T,9.996386099999976
AF7685,AlignedDimension,"IPC  A/R  091364",C-AR-T,Compass 5 000
AF7686,AlignedDimension,"IPC  A/R  091363",C-AR-T,Compass 5 000
AF7688,AlignedDimension,"IPC  A/R  090345",C-AR-T,Compass 5 000
AF7689,AlignedDimension,"IPC  A/R  091362",C-AR-T,Compass 5 000
AF768A,AlignedDimension,"IPC  A/R  231931",C-AR-T,Compass 5 000
AF768B,AlignedDimension,"IPC  A/R  973143",C-AR-T,Compass 5 000
AF768C,AlignedDimension,"IPC  A/R  ______",C-AR-T,Compass 5 000
AF768D,AlignedDimension,"IPC  A/R  090344",C-AR-T,Compass 5 000
AF768E,AlignedDimension,"IPC  A/R  090344",C-AR-T,Compass 5 000
AF768F,AlignedDimension,"IPC  A/R  ______",C-AR-T,Compass 5 000
AF7690,AlignedDimension,"IPC  P/L R/W  091428",C-RW,Compass 5 000
AF7691,AlignedDimension,"IPC  P/L R/W  982 5882  972577",C-RW-T,Compass 5 000
AF7692,AlignedDimension,"IPC  P/L R/W  230909",C-RW-T,Compass 5 000
AF7693,AlignedDimension,"IPC  P/L R/W  231194",C-RW-T,Compass 5 000
AF7694,AlignedDimension,"IPC  P/L R/W  231194",C-RW-T,Compass 5 000
AF7695,AlignedDimension,"IPC  P/L R/W  091463",C-RW-T,Compass 5 000
AF7696,MText,"IPC WorkSpace RTF2317382",T-EXISTING TFA-T,9.996329999999947
AF7698,MText,"IPC WorkSpace RTF2317383",T-EXISTING TFA-T,9.996329999999947
AF769F,MText,"IPC Central Processing Facility MSL 231295",C-WS-T,9.99641999999993
AF76A0,MText,"IPC 14-25 (Surface) MSL 091738 ( To be Amended)",C-WS-T,9.99641999999993
AF76A1,MText,"IPC 13-25 (Surface) MSL 091739",C-WS-T,9.99641999999993
AF76A2,MText,"IPC 4-36 (Surface) MSL 231340",C-WS-T,9.99641999999993
AF76A3,MText,"12-25 (Abd.)",C-WS-T,9.99641999999993
AF76A4,MText,"IPC Plant Site MLL 090122",C-WS-T,9.996329999999961
AF76A8,MText,"IPC 15-25(Surface) MSL 120431",C-WS-T,9.996329999999961
AF76AA,MText,"IPC 10-25 (Surface) MSL 974642 (To be Reclaimed)",C-WS-T,9.999829937587041
AF76AE,MText,"IPC 16-25 (Surface) MSL 231366",C-WS-T,9.996329999999961
AF76B0,MText,"IPC 10-25 (Surface) MSL 231421",C-WS-T,9.996329999999961
AF76B2,MText,"IPC Central Processing Facility MSL 231295",C-WS-T,9.99641999999993
AF76B3,MText,"IPC 12-25 (Surface) MSL 090384",C-WS-T,9.999763914914887
AF76B5,MText,"IPC 6-25 (Surface) MSL ______",C-WS-T,9.999763914914887
AF76B7,MText,"IPC Riser Site PIL 230321",C-WS-T,9.999763914914894
AF76B9,MText,"IPC Riser Site PIL 230320",C-WS-T,9.999763914914894
AF76BB,AlignedDimension,"InterPipeline  2314567",T-EXISTING TFA-T,Compass 5 000
AF76BC,AlignedDimension,"InterPipeline  P/L R/W  230977",F-RW-T,Compass 5 000
AF76BE,MText,"InterPipeline WorkSpace RTF 2314568",T-EXISTING TFA-T,9.996329999999947
AF76BF,DBText,"(Undeveloped)",T-TEXT,9.996419999999961
AF76C0,DBText,"(Undeveloped)",T-TEXT,9.996419999999963
AF76C1,MText,"6m Trail",T-TEXT,9.996414299999977
AF76C2,MText,"4m Trail",T-TEXT,9.996386099999976
AF76D3,BlockReference,"*U56",0,0.999641999999997
AF76E6,BlockReference,"*U28",0,0.999641999999997
AF76F5,BlockReference,"GAS",ABADATA-DRILL-T,4.998209999999968
AF76F6,BlockReference,"GABD",C-WS-S,4.999999999999967
AF76F7,BlockReference,"GAS",ABADATA-DRILL-T,4.998209999999968
