Handle,ObjType,Content,Layer,Extra
AF192B,BlockReference,"FDI",L-MON,4.9999999999999885
AF1930,BlockReference,"FDI",L-MON,4.9999999999999885
AF1A08,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF1A0D,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF1A2F,BlockReference,"GAS",AS-SYMBOL,4.9999999999999885
AF1A34,BlockReference,"GAS",AS-SYMBOL,4.9999999999999885
AF1A3E,BlockReference,"GAS",AS-SYMBOL,4.9999999999999885
AF1A7C,BlockReference,"GAS",AS-SYMBOL,4.9999999999999885
AF1B11,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF1B62,BlockReference,"GAS",AS-SYMBOL,4.9999999999999885
AF1B67,BlockReference,"GAS",AS-SYMBOL,4.9999999999999885
AF22DE,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF232F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
AF2334,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
AF234B,BlockReference,"*U48",AS-SYMBOL,4.9999999999999885
AF23EF,BlockReference,"GAS",C-WS-S,4.9999999999999885
AF23F0,BlockReference,"GAS",C-WS-S,4.9999999999999885
AF23F1,BlockReference,"GAS",C-WS-S,4.9999999999999885
AF23F2,BlockReference,"GAS",C-WS-S,4.9999999999999885
AF23F9,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF23FA,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF23FB,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF23FC,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF2BED,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF2BFA,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF2BFB,BlockReference,"RISER",AS-SYMBOL,4.9999999999999885
AF4465,AlignedDimension,"Torxen  P/L R/W  131 0204",C-RW,Compass 5 000
AF44A8,AlignedDimension,"Torxen  P/L R/W  091 3290",C-RW-T,Compass 5 000
AF44A9,AlignedDimension,"Torxen  P/L R/W  071 5692",C-RW-T,Compass 5 000
AF44AD,AlignedDimension,"Torxen  P/L R/W  191 1134",C-RW-T,Compass 5 000
AF44AE,AlignedDimension,"Torxen  P/L R/W  161 0641",C-RW-T,Compass 5 000
AF44AF,AlignedDimension,"Torxen  P/L R/W  by  Geomatics",C-RW-T,Compass 5 000
AF44B0,AlignedDimension,"CNRL  P/L R/W  861 0094",F-RW-T,Compass 5 000
AF463E,DBText,"Government Road Allowance",L-ROAD-T,9.99182167281
AF4657,MText,"Government Road Allowance",L-ROAD-T,9.991821672810001
AF4658,MText,"S.E.1/4 Sec. 15-27-18-W.4M.",C-SYMBOL,19.991819999999944
AF4659,MText,"Area Required = 1.072 ha 2.65 Ac.",L-AREAREQUIRED,10.995500999999985
AF465A,MText,"(Undeveloped)",T-TEXT,9.991821672810001
AF465B,MText,"(Undeveloped)",T-TEXT,9.991821672810001
AF465C,MText,"(8m Low Grade Gravel Road)",T-TEXT,9.995909999999972
AF465E,MText,"Texas Gate",T-TEXT,9.995689999999978
AF4661,BlockReference,"HRV",CG-NOTES,0.9995909999999982
AF4665,AlignedDimension,"Torxen  A/R",C-AR-T,Compass 5 000
AF4666,AlignedDimension,"Torxen  A/R",C-AR-T,Compass 5 000
AF4667,MText,"Torxen 1-15",C-WS-T,9.999999999999972
AF4669,MText,"Torxen 16-15 2-10 102/13-15 1-10 4-11",C-WS-T,9.999999999999972
AF466B,MText,"Torxen 9-14 7-15 9-15",C-WS-T,9.999999999999972
AF466D,AlignedDimension,"CNRL  A/R",F-AR-T,Compass 5 000
AF4675,BlockReference,"*U41",AS-OWNER,1
AF4EFB,BlockReference,"L-SECLBL",L-SECLBL,0.9995909999999982
AF4F0A,AlignedDimension,"Torxen  A/R",C-AR-T,Compass 5 000
AF629F,AlignedDimension,"Torxen  P/L R/W  151 0876",C-RW-T,Compass 5 000
AFB493,BlockReference,"GAS",C-WS-S,4.997960149999992
AFF62E,BlockReference,"GAS",C-WS-S,4.9999999999999885
B181C1,BlockReference,"TEMP",L-MON,4.997960149999996
B181C2,BlockReference,"TEMP",L-MON,4.997960149999996
B181C3,BlockReference,"TEMP",L-MON,4.997960149999996
B181C4,BlockReference,"TEMP",L-MON,4.997960149999996
B181C5,BlockReference,"TEMP",L-MON,4.997960149999996
B1B2FD,MText,"Rolling Cultivation",T-TEXT,9.995689999999978
B1B3E6,MText,"Low Area (Seasonally Wet)",T-TEXT,9.995689999999978
B1DC83,MText,"10.0x76.3 Workspace",P-TEMP-T,9.999999999999972
B1DC8C,BlockReference,"xing2",P-CROSSINGS,0.99959203
B1E476,BlockReference,"*U50",DETAIL-T,0.99959203
B1E488,MText,"Fd.I. c.s. N.E.10",L-MON,9.995909999999972
