Handle,ObjType,Content,Layer,Extra
A27E2F,BlockReference,"FDI",L-MON,4.99808
A27E43,BlockReference,"FDI",L-MON,4.99808
A27E48,BlockReference,"FDI",L-MON,4.99808
A27E61,BlockReference,"FDI",L-MON,4.99808
A27E66,BlockReference,"FDI",L-MON,4.99808
A27E6B,BlockReference,"FDI",L-MON,4.99808
A27E70,BlockReference,"FDI",L-MON,4.99808
A27E7A,BlockReference,"FDI",L-MON,4.99808
A27E7F,BlockReference,"FDI",L-MON,4.99808
A27E84,BlockReference,"FDI",L-MON,4.99808
A27E89,BlockReference,"FDI",L-MON,4.99808
A27E8E,BlockReference,"FDI",L-MON,4.99808
A27E97,BlockReference,"FDI",L-MON,4.99808
A27E9C,BlockReference,"FDI",L-MON,4.99808
A409E3,BlockReference,"*U34",AS-WILDLIFE,1
A4107B,AlignedDimension,"IPC  P/L R/W  982 4142  972546",C-RW-T,Compass 5 000
A4170B,AlignedDimension,"IPC  A/R  5112",C-AR-T,Compass 5 000
A4172A,AlignedDimension,"IPC  P/L R/W  982 4843  972535",C-RW-T,Compass 5 000
A41749,AlignedDimension,"IPC  P/L R/W Plan 012 3504  002629",C-RW-T,Compass 5 000
A41DC6,AlignedDimension,"IPC  P/L R/W PLA 091428",C-RW-T,Compass 5 000
A4244D,AlignedDimension,"IPC  P/L R/W Plan 982 4847  972512",C-RW-T,Compass 5 000
A424AA,BlockReference,"*U34",AS-WILDLIFE,1
A424B9,AlignedDimension,"IPC  P/L R/W PLA 091428",C-RW-T,Compass 5 000
A424C6,AlignedDimension,"IPC  P/L R/W Plan 982 4847  972512",C-RW-T,Compass 5 000
A435E5,AlignedDimension,"IPC  A/R  980301",C-AR-T,Compass 5 000
A43CA3,BlockReference,"*U34",AS-WILDLIFE,1
A43CB2,AlignedDimension,"IPC  A/R  980301",C-AR-T,Compass 5 000
A43CBF,AlignedDimension,"IPC  P/L R/W Plan 982 4847  972512",C-RW-T,Compass 5 000
A43CF0,AlignedDimension,"IPC  P/L R/W PLA 091428",C-RW-T,Compass 5 000
A43D4D,BlockReference,"*U34",AS-WILDLIFE,1
A43D91,BlockReference,"*U34",AS-WILDLIFE,1
A43DA0,AlignedDimension,"IPC  P/L R/W PLA 091428",C-RW-T,Compass 5 000
A44447,AlignedDimension,"IPC  P/L R/W PLA 091428",C-RW-T,Compass 5 000
A44466,AlignedDimension,"IPC  A/R  090344",C-AR-T,Compass 5 000
A4448E,AlignedDimension,"IPC  P/L R/W  091463",C-RW-T,Compass 5 000
A44B32,AlignedDimension,"IPC  A/R  090345",C-AR-T,Compass 5 000
A4610A,AlignedDimension,"IPC  A/R  091363",C-AR-T,Compass 5 000
A46136,MText,"IPC 15-25 (Surface) MSL 120431",C-WS-T,9.99616
A467A5,MText,"IPC Sump Site MSL 083216",C-WS-T,9.99616
A467AF,MText,"IPC Plant Site MLL 090122",C-WS-T,9.99616
A467B1,AlignedDimension,"IPC  A/R  120977",C-AR-T,Compass 5 000
A467D5,MText,"IPC 10-25 (Surface) MSL 974642 (To be Reclaimed)",C-WS-T,9.99616
A467E6,AlignedDimension,"IPC  P/L R/W  982 5882  972577",C-RW-T,Compass 5 000
A46E84,MText,"IPC 14-25 (Surface) MSL 090384",C-WS-T,9.99616
A46E85,AlignedDimension,"IPC  P/L R/W  091463",C-RW-T,Compass 5 000
A46E91,AlignedDimension,"IPC  A/R  090345",C-AR-T,Compass 5 000
A46E9D,AlignedDimension,"IPC  P/L R/W  982 5882  972577",C-RW-T,Compass 5 000
A46EE1,MText,"IPC 2-25 (Surface) MSL 110865",C-WS-T,9.99616
A4D27C,BlockReference,"L-SECLBL",L-SECLBL,0.999616
A4D28E,BlockReference,"L-SECLBL",L-SECLBL,0.999616
A4D2A0,BlockReference,"L-SECLBL",L-SECLBL,0.999616
A4E89B,DBText,"Government Road Allowance",L-ROAD-T,9.99616
A4E89C,DBText,"(Undeveloped)",T-TEXT,9.99616
A4E8A5,DBText,"Government Road Allowance",L-ROAD-T,9.99616
A4E8A6,DBText,"(Undeveloped)",T-TEXT,9.99616
A4E8B4,DBText,"Government Road Allowance",L-ROAD-T,9.99616
A4E8B5,DBText,"(Undeveloped)",T-TEXT,9.99616
A4E8C1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99616
A4E8C9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99616
A51618,MText,"Rge. 18",D-TXT,13.994624000000051
A51619,MText,"Rge. 17",D-TXT,13.994624000000051
A51622,MText,"Rge. 18",D-TXT,13.994624000000051
A51623,MText,"Rge. 17",D-TXT,13.994624000000051
A53C20,DBText,"Theor. S.E.1/4 Sec. 30-76-17-W.4M.",C-SYMBOL,19.99232
A53C21,DBText,"Theor. S.W.1/4 Sec. 30-76-17-W.4M.",C-SYMBOL,19.99232
A5770A,MText,"Theor. S.W.1/4  Sec. 29-76-17-W.4M.",C-SYMBOL,19.99232
A5770C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993856
A5770F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993856
A57712,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993856
AE205F,MText,"SEE DETAIL 'A'",DETAIL-T,15.993856
AE2A7E,AlignedDimension,"IPC  P/L R/W  982 4142  972546",C-RW-T,Compass 5 000
AE2A7F,AlignedDimension,"IPC  P/L R/W  982 4843  972535",C-RW-T,Compass 5 000
AE2A80,AlignedDimension,"IPC  P/L R/W Plan 012 3504  002629",C-RW-T,Compass 5 000
AE2A84,BlockReference,"FDI",L-MON,4.99808
AE2A86,BlockReference,"FDI",L-MON,4.99808
AE2A87,BlockReference,"FDI",L-MON,4.99808
AE2A9D,DBText,"332°46'15''",L-BD,9.99616
AE2A9F,DBText,"30''",L-BD,9.99616
AE2AA1,DBText,"40'",L-BD,9.99616
AE2AA3,DBText,"30''",L-BD,9.99616
AE2C0E,MText,"IPC 6-29 (Surface) MSL 10947",C-WS-T,9.99616
AE368B,MText,"Fd.I.",L-MON,9.99616
AE52C1,AlignedDimension,"IPC  A/R  5112",C-AR-T,Compass 5 000
AE52EB,AlignedDimension,"IPC  P/L R/W Plan 982 4847  972512",C-RW-T,Compass 5 000
AE52F7,AlignedDimension,"IPC  P/L R/W PLA 091428",C-RW-T,Compass 5 000
AE5B46,MText,"Re-est. Position by Plan 982 4847",L-MON,9.99616
AE5B56,MText,"Fd.I.",L-MON,9.99616
AE5B5F,MText,"Fd.I. Mp.",L-MON,9.99616
AE653B,BlockReference,"*U31",DETAIL-T,0.999616
AE6549,MText,"DETAIL 'A'",DETAIL-T,19.99232
AE7649,MText,"Buried Pipe",AS-PIPE-UG-T,9.99616
AE7651,MText,"Buried Pipe",AS-PIPE-UG-T,9.99616
AE7659,MText,"Buried Pipe",AS-PIPE-UG-T,9.99616
AEEAA3,MText,"Culvert  1.0 dia. 21.2 Length",T-TEXT,9.99616
AEEAAD,MText,"Culvert  1.0 dia. 18.2 Length",T-TEXT,9.99616
AFCFED,MText,"Culvert  0.5 dia.",T-TEXT,9.99616
B1EACE,BlockReference,"FDI",L-MON,4.99808
B1EAD0,BlockReference,"FDI",L-MON,4.99808
B20676,BlockReference,"fdspike",L-MON,4.99808
B20677,BlockReference,"fdspike",L-MON,4.99808
B28AB7,MText,"L.S. 1",L-SECTION-LSD,9.99616
B28AB8,MText,"L.S. 2",L-SECTION-LSD,9.99616
B28ABA,MText,"L.S. 8",L-SECTION-LSD,9.99616
B28ABB,MText,"L.S. 7",L-SECTION-LSD,9.99616
B28ABF,MText,"L.S. 9",L-SECTION-LSD,9.99616
B28AC1,MText,"L.S. 10",L-SECTION-LSD,9.99616
B28AC3,MText,"L.S. 16",L-SECTION-LSD,9.99616
B28AC5,MText,"L.S. 15",L-SECTION-LSD,9.99616
B28AC7,MText,"L.S. 3",L-SECTION-LSD,9.99616
B28AC9,MText,"L.S. 4",L-SECTION-LSD,9.99616
B28ACB,MText,"L.S. 6",L-SECTION-LSD,9.99616
B28ACD,MText,"L.S. 5",L-SECTION-LSD,9.99616
B28ACF,MText,"L.S. 1",L-SECTION-LSD,9.99616
B28AD0,MText,"L.S. 2",L-SECTION-LSD,9.99616
B28AD2,MText,"L.S. 8",L-SECTION-LSD,9.99616
B28AD3,MText,"L.S. 7",L-SECTION-LSD,9.99616
B28B0A,MText,"L.S. 3",L-SECTION-LSD,9.99616
B28B0C,MText,"L.S. 4",L-SECTION-LSD,9.99616
B28B10,MText,"L.S. 5",L-SECTION-LSD,9.99616
B28B30,BlockReference,"HRV",CG-NOTES,0.999616
B28B3E,BlockReference,"HRV",CG-NOTES,0.999616
B295B4,DBText,"N.E.1/4 Sec. 25-76-18-W.4M.",C-SYMBOL,19.99232
