Handle,ObjType,Content,Layer,Extra
BC59ED,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999796
BC59EE,BlockReference,"L-SECLBL",L-SECLBL,1
BC5A30,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994810499999591
BC623D,BlockReference,"MUSK",T-GENERAL,4.9999999999999
BC62A5,MText,"Theor. S.W.1/4
Sec. 16-64-21-W.5M.",C-SYMBOL,19.99999999999961
BC62A6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999567
BC6441,AlignedDimension,"Veren\P10.00 P/L R/W\PPlan 094 1536\PPLA 071598",C-RW-T,Compass 5 000
BC6442,AlignedDimension,"Veren\P15.00 P/L R/W\PPLA 140001",C-RW-T,Compass 5 000
BC6443,AlignedDimension,"Veren\P15.00 P/L R/W\PPLA 220223",C-RW-T,Compass 5 000
BC6444,AlignedDimension,"Veren\P10.00 P/L R/W\PPLA 071761",C-RW-T,Compass 5 000
BC6445,AlignedDimension,"Veren\P20.00 P/L R/W\PPLA 230753",C-RW-T,Compass 5 000
BC6446,AlignedDimension,"Veren\P10.00 P/L R/W\PPLA 121253",C-RW-T,Compass 5 000
BC6447,AlignedDimension,"Veren\P10.00 P/L R/W\PPlan 072 1780\PPLA 070611",C-RW-T,Compass 5 000
BC6448,MText,"Veren
Gas Processing Plant
MLL 070071",C-WS-T,9.994810499999584
BC644A,MText,"Veren
FC716 5-16 (Surface)
MSL 250117",C-WS-T,9.99478859999962
BC644C,AlignedDimension,"ATCO\P10.50 Power Line R/W\PEZE 080124",F-EZE-T,Compass 5 000
BC644E,AlignedDimension,"CNRL\P20.12 A/R\PLOC 780150",F-EZE-T,Compass 5 000
BC644F,AlignedDimension,"CNRL\P18.00 P/L R/W\PPlan 802 3164\PPLA 840255",F-RW-T,Compass 5 000
BC6450,AlignedDimension,"CNRL\P10.00 P/L R/W\PPlan 802 3164\PPlan 952 0841\PPLA 941611",F-RW-T,Compass 5 000
BC6451,MText,"CNRL
Treatment Plant
Plan 802 3164
MLL 800061",F-WS-T,9.994810499999584
BC6453,AlignedDimension,"Veren\P20.00 P/L R/W\PPLA 250342",C-RW-T,Compass 5 000
BC684A,MText,"Veren
15.00 A/R
LOC 250173",C-AR-T,10
BC6A74,AlignedDimension,"ATCO\P6.00 Power Line R/W\PEZE 190046",F-EZE-T,Compass 5 000
BC9EAF,BlockReference,"see_detail",CG-NOTES,1
BCD5E5,AlignedDimension,"Veren\P15.00 P/L R/W\PPLA 220223",C-RW-T,Compass 5 000
BCD5E6,AlignedDimension,"Veren\P10.00 P/L R/W\PPLA 071761",C-RW-T,Compass 5 000
BCD5E7,MText,"Veren
Gas Processing Plant
MLL 070071",C-WS-T,9.994810499999586
BCDA35,BlockReference,"lightpole",AS-SYMBOL,5
BCDA38,MText,"Transformer",AS-CABLE,10
BCDA3D,MText,"Transformer",AS-CABLE,10
BCDA41,BlockReference,"lightpole",AS-SYMBOL,5
BCDA43,BlockReference,"lightpole",AS-SYMBOL,5
BCDA45,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
BCDA47,BlockReference,"lightpole",AS-SYMBOL,5
BCDA49,MText,"Gate",AS-GENERAL,10
BCDA4A,MText,"Gate",AS-GENERAL,10
BCDA4B,MText,"Gate",AS-GENERAL,10
BCDA4D,MText,"Cathodic Post",AS-CABLE,10
BCDA4F,BlockReference,"lightpole",AS-SYMBOL,5
BCDA50,AlignedDimension,"CNRL\P10.00 P/L R/W\PPlan 802 3164\PPlan 952 0841\PPLA 941611",F-RW-T,Compass 5 000
BCDA51,AlignedDimension,"CNRL\P20.12 A/R\PLOC 780150",F-EZE-T,Compass 5 000
BCDA52,AlignedDimension,"Veren\P10.00 P/L R/W\PPlan 094 1536\PPLA 071598",C-RW-T,Compass 5 000
BCDA53,AlignedDimension,"Veren\P20.00 P/L R/W\PPLA 250342",C-RW-T,Compass 5 000
