Handle,ObjType,Content,Layer,Extra
BC6B4F,BlockReference,"L-SECLBL",L-SECLBL,0.99966032
BC6BF1,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10.000000000000032
BC6C03,AlignedDimension,"Obsidian  A/R  240647",C-AR-T,Compass 5 000
BC6C07,MText,"Obsidian 10-21 (Surface) MSL 9578",C-WS-T,9.996603200000036
BC6C08,MText,"Obsidian 10-21 (Surface) MSL 122276 (Expired)",C-WS-T,9.996603200000036
BC6C09,AlignedDimension,"Obsidian  P/L R/W  111305",C-RW-T,Compass 5 000
BC6C0A,AlignedDimension,"Obsidian  P/L R/W  140426",C-RW-T,Compass 5 000
BC6C0B,AlignedDimension,"Obsidian  P/L R/W  140476",C-RW-T,Compass 5 000
BC6C0D,DBText,"Government Road Allowance",L-ROAD-T,9.996603200000033
BC6C0E,DBText,"(Undeveloped)",T-TEXT,9.996603200000033
BC6C0F,DBText,"Theoretical Government Road Allowance",L-ROAD-T,9.996603200000026
BC6C24,MText,"Fortis O/H  Power Line",AS-POWER-T,9.992408725263203
BC6C26,AlignedDimension,"Obsidian  A/R  241740",C-AR-T,Compass 5 000
BC6C28,MText,"N.E.1/4 Sec. 21-42-8-W.5M.",C-SYMBOL,19.99320640000005
BC6C29,DBText,"FGL 920008 Boundary",AS-FMA-T,9.990755187128041
BC6C2A,DBText,"FGL 920008 Boundary",AS-FMA-T,9.990755187128041
BC6C2B,BlockReference,"HRV",CG-NOTES,0.99966032
BC6C31,BlockReference,"GAS",C-WS-S,4.998301600000002
BC6C32,BlockReference,"GAS",C-WS-S,4.998301600000002
BC6C33,BlockReference,"GAS",C-WS-S,4.998301600000002
BC6C34,BlockReference,"GAS",C-WS-S,4.998301600000002
BC6C35,BlockReference,"GAS",C-WS-S,4.998301600000002
BC6C37,DBText,"Well Site = 2.201 ha  5.44 Ac.",L-AREAREQUIRED,10.996263520000022
BC6C46,AlignedDimension,"Obsidian  P/L R/W  111282",C-RW-T,Compass 5 000
BC6C47,AlignedDimension,"Obsidian  P/L R/W  140112",C-RW-T,Compass 5 000
BC6C49,AlignedDimension,"Obsidian  P/L R/W  121274",C-RW-T,Compass 5 000
BC6C4A,AlignedDimension,"Obsidian  A/R  5146",C-AR-T,Compass 5 000
BC6C4B,AlignedDimension,"Pembina  P/L R/W  100639",F-RW-T,Compass 5 000
BC6C4C,AlignedDimension,"P/L R/W  842 0226  830333",C-RW-T,Compass 5 000
BC6C4F,MText,"5m High Grade Gravel Road",T-TEXT,9.996603200000033
BCAAB3,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCB39E,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCB3A3,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCB3A8,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCB3AD,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCC6E7,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCC6EC,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCC6FB,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCC700,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCC70A,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BCD09B,BlockReference,"FDI",L-MON,4.998301600000002
BCD977,BlockReference,"FDI",L-MON,4.998301600000002
BCD986,BlockReference,"FDI",L-MON,4.998301600000002
BCD99A,BlockReference,"FDI",L-MON,4.998301600000002
BCD99F,BlockReference,"FDI",L-MON,4.998301600000002
BCD9B1,BlockReference,"FDI",L-MON,4.998301600000002
BCD9B6,BlockReference,"plspike",L-MON,4.998301600000002
BCD9BB,BlockReference,"FDI",L-MON,4.998301600000002
BCD9C0,BlockReference,"plspike",L-MON,4.998301600000002
BCD9C5,BlockReference,"plspike",L-MON,4.998301600000002
BD55AC,BlockReference,"fdspike",L-MON,4.998301600000002
BDCCB9,MText,"Obsidian 20.00 A/R LOC 122250 (Expired, To Be Cancelled)",C-AR-T,9.996603200000004
BDCCBB,AlignedDimension,"Obsidian  A/R  240647",C-AR-T,Compass 5 000
BDCCBD,AlignedDimension,"Obsidian  A/R  5146",C-AR-T,Compass 5 000
BDCCBE,AlignedDimension,"Obsidian  P/L R/W  111305",C-RW-T,Compass 5 000
BDCCBF,AlignedDimension,"Obsidian  P/L R/W  140426",C-RW-T,Compass 5 000
BDCCC3,AlignedDimension,"Obsidian  P/L R/W  121274",C-RW-T,Compass 5 000
BDCCC4,AlignedDimension,"P/L R/W  842 0226  830333",C-RW-T,Compass 5 000
BDCCCE,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCCF,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCD0,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCD1,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCD2,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCD4,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCD5,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCD8,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCD9,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCDB,BlockReference,"RISER",AS-SYMBOL,4.998301600000002
BDCCDE,BlockReference,"GAS",C-WS-S,4.998301600000002
BDCCDF,BlockReference,"GAS",C-WS-S,4.998301600000002
BDCCE0,BlockReference,"GAS",C-WS-S,4.998301600000002
BDCCE1,BlockReference,"GAS",C-WS-S,4.998301600000002
BDCCE9,BlockReference,"FDI",L-MON,4.998301600000002
BDCCEA,BlockReference,"FDI",L-MON,4.998301600000002
BDCCEC,BlockReference,"FDI",L-MON,4.998301600000002
BDCCED,BlockReference,"plspike",L-MON,4.998301600000002
BDCCEE,BlockReference,"FDI",L-MON,4.998301600000002
BDCCEF,BlockReference,"plspike",L-MON,4.998301600000002
BDCCF0,BlockReference,"plspike",L-MON,4.998301600000002
BDCCFA,BlockReference,"fdspike",L-MON,4.998301600000002
BDCE50,AlignedDimension,"Pembina  P/L R/W  100639",F-RW-T,Compass 5 000
BDD845,BlockReference,"GAS",C-WS-S,4.998301600000002
BDD8EF,MText,"Building",AS-STRUCTURE-T,9.996603200000056
BDDD74,BlockReference,"fdspike",L-MON,4.998301600000002
BDEC0D,MText,"178°31'15" 472.76",L-BD,9.996603200000004
BDEC12,DBText,"40''",L-BD,9.996603200000004
BDEC14,DBText,"31'",L-BD,9.996603200000004
BDEC1A,BlockReference,"fdspike",L-MON,4.998301600000002
BDEC1B,DBText,"178°",L-BD,9.996603200000004
BDEC2D,DBText,"265°59'10"",L-BD,9.996603200000004
BDF0AC,DBText,"359°25'10"",L-BD,9.996603200000004
BDF0B7,DBText,"88°31'15"",L-BD,9.996603200000004
BDF0B8,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
BDF0EA,DBText,"55''",L-BD,9.996603200000004
BDF0EC,DBText,"268°",L-BD,9.996603200000004
BDF634,DBText,"31'",L-BD,9.996603200000004
BDF635,DBText,"Fd.I. Mp.",L-MON-T,9.996603200000004
BDF689,DBText,"RP",35,9.996603200000004
BDFB29,MText,"Obsidian 2-28 (Surface) MSL 5277 (Expired)",C-WS-T,9.996603200000036
BDFB2B,DBText,"653.54(Tie)",L-BD,9.996603200000004
BDFB2C,DBText,"282°40'15''",L-BD,9.996603200000004
BDFB2D,DBText,"668.02(Tie)",L-BD,9.996603200000004
BDFB2E,DBText,"106°52'50''",L-BD,9.996603200000004
BE007A,MText,"Fd.I. 4 Pits E.1/4 21",L-MON-T,9.996603200000004
BE007B,MText,"Fd.I. Pit M. N.E. 21",L-MON-T,9.996603200000004
BE007D,DBText,"358°30'05''",L-BD,9.996603200000004
BE8187,MText,"Fortis O/H  Power Line",AS-POWER-T,9.992408725263203
BE8189,DBText,"FGL 920008 Boundary",AS-FMA-T,9.990755187128041
BE81A6,AlignedDimension,"Obsidian  P/L R/W  140476",C-RW-T,Compass 5 000
BE81D2,MText,"Obsidian 10-21 (Surface) MSL 122276 (Expired, To be Cancelled)",C-WS-T,9.996603200000036
BE81D3,MText,"5m High Grade Gravel Road",T-TEXT,9.990755187128041
BE8756,MText,"W/H 2-27 (HZ)",C-WS-T,9.996603200000036
BE8793,MText,"Obsidian 10-21 (Surface) MSL 9578",C-WS-T,9.996603200000036
BE87A4,AlignedDimension,"Obsidian  P/L R/W  140112",C-RW-T,Compass 5 000
BE87D0,AlignedDimension,"Obsidian  P/L R/W  111282",C-RW-T,Compass 5 000
BEA722,DBText,"Access Road = 0.020 ha  0.05 Ac.",L-AREAREQUIRED,10.996263520000022
BEA883,DBText,"L.S. 9",L-SECTION-LSD,9.996603200000001
BEA884,DBText,"L.S. 10",L-SECTION-LSD,9.996603200000001
BEA885,DBText,"L.S. 15",L-SECTION-LSD,9.996603200000001
BEA886,DBText,"L.S. 16",L-SECTION-LSD,9.996603200000001
BEB530,MText,"Fd. No Mk. Re-est. Position  by MSL 122276",L-MON-T,9.996603200000004
BEB531,DBText,"Fd.I. Mp.",L-MON-T,9.996603200000004
BEB532,DBText,"Fd.I.",L-MON-T,9.996603200000004
BEBAB1,DBText,"c.s.",L-MON-T,9.996603200000004
BEBAF2,MText,"SEE DETAIL",DETAIL-T,15.99456512
BED850,DBText,"Fd.I. c.s.",L-MON-T,9.996603200000004
BEEB31,MText,"25cm Poplar, Spruce & Pine",T-BUSH-T,9.996603200000001
BEEB43,MText,"Riser (Typ.)",T-TEXT,9.996603200000001
BEEB5C,MText,"W/H 15-20 (HZ)",C-WS-T,9.996603200000036
BEEB5E,MText,"W/H 102/16-22 (HZ)",C-WS-T,9.996603200000036
BEEB5F,MText,"W/H 9-22 (HZ)",C-WS-T,9.996603200000036
BEEF78,MText,"W/H 103/10-20 (HZ)",C-WS-T,9.996603200000036
BEEF82,MText,"Culvert (406.4mm)",T-TEXT,9.996603200000001
BEEF85,MText,"10.00 268°31'40''",L-BD,9.996603200000004
BEF117,BlockReference,"*U62",DETAIL-T,1
BEF57C,DBText,"Fd.I. Mp.",L-MON-T,9.996603200000004
BEF57D,BlockReference,"*U62",DETAIL-T,1
BF32E6,MText,"25cm Poplar, Spruce & Pine",T-BUSH-T,9.996603200000001
