Handle,ObjType,Content,Layer,Extra
AB2B1E,BlockReference,"L-SECLBL",L-SECLBL,1
AB2BBE,AlignedDimension,"Obsidian  P/L R/W  832 1525",C-RW-T,Compass 5 000
AB2BCB,AlignedDimension,"Obsidian  P/L R/W  812 1651",C-RW-T,Compass 5 000
AB2BD8,AlignedDimension,"Obsidian  P/L R/W  832 1242",C-RW-T,Compass 5 000
AB35C3,AlignedDimension,"Obsidian  P/L R/W  902 1224",C-RW-T,Compass 5 000
AB35F4,AlignedDimension,"Altalink  Transmission Line R/W  832 1903",F-RW-T,Compass 5 000
AB403B,AlignedDimension,"Obsidian  P/L R/W  852 2111",C-RW-T,Compass 5 000
AB40B6,AlignedDimension,"Obsidian  P/L R/W  992 1729",C-RW-T,Compass 5 000
AB6C21,BlockReference,"GAS",C-WS-S,4.999999999999987
AB6C36,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999973
AB6C38,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999973
ABAE77,MText,"(2) Buried Pipes",AS-PIPE-UG-T,9.999999999999979
ABAE79,MText,"Buried  Pipe",AS-PIPE-UG-T,9.999999999999979
ABE944,MText,"Pasture",T-GENERAL,9.999999999999979
ABE945,MText,"Pasture",T-GENERAL,9.999999999999979
ABE946,MText,"Pasture",T-GENERAL,9.999999999999979
ACED47,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
AD01EC,MText,"Obsidian 14-22",C-WS-T,9.99663319999998
AD0C24,DBText,"N.W.1/4 Sec. 22-52-8-W.5M.",C-SYMBOL,19.993266399999953
AD0C25,DBText,"Riser Site = 0.023 ha  0.06 Ac.",L-AREAREQUIRED,10.996296519999976
AD0C26,DBText,"Access Road = 0.308 ha  0.76 Ac.",L-AREAWORK,10.996296519999976
AD2D63,BlockReference,"*U22",35,0.99966332
AD3B04,MText,"L.S. 11",L-SECTION-LSD,9.996633199999982
AD3B06,MText,"L.S. 12",L-SECTION-LSD,9.996633199999982
AD3B08,MText,"L.S. 14",L-SECTION-LSD,9.996633199999982
AD3B09,MText,"L.S. 13",L-SECTION-LSD,9.996633199999982
ADF1AF,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.996633199999982
ADF1BE,MText,"Gate",AS-GENERAL,9.999999999999979
AE2151,MText,"Existing Approach",AS-GENERAL,9.999999999999979
AE216C,DBText,"(High Grade Gravel)",T-TEXT,9.99663319999998
AE217A,DBText,"(Undeveloped)",T-TEXT,9.99663319999998
AE2BB0,BlockReference,"*U23",AS-OWNER,0.99966332
AF653F,BlockReference,"TEMP",L-MON,4.998316599999997
AF6540,BlockReference,"TEMP",L-MON,4.998316599999997
AF6543,BlockReference,"TEMP",L-MON,4.998316599999997
AF8188,MText,"SEE DETAIL 'B'",DETAIL-T,15.994613119999986
AF88A1,MText,"217.19 (Tie)",L-BD,9.996633199999986
AF88A2,MText,"259°49'40''",L-BD,9.996633199999986
B0418C,MText,"268°17'15''",L-BD,9.996633199999986
B04192,MText,"268°17'15''",L-BD,9.996633199999986
B042E9,BlockReference,"TEMP",L-MON,4.998316599999997
B05BCB,AlignedDimension,"10.00 A/R",P-TXT,Compass 5 000
B06412,MText,"SEE DETAIL 'A'",DETAIL-T,15.994613119999986
B06453,BlockReference,"TEMP",L-MON,4.998316599999997
B06454,BlockReference,"TEMP",L-MON,4.998316599999997
B06455,BlockReference,"TEMP",L-MON,4.998316599999997
B06456,BlockReference,"TEMP",L-MON,4.998316599999997
B0881D,MText,"DETAIL 'A'",DETAIL-T,19.993309000000007
B0881F,BlockReference,"*U25",DETAIL-T,0.99966545
B0903D,MText,"15''",L-BD,9.996633199999986
B0903E,MText,"268°",L-BD,9.996633199999986
B0A152,DBText,"310°22'30''",L-BD,9.996633199999982
