Handle,ObjType,Content,Layer,Extra
BCF66D,BlockReference,"L-SECLBL",L-SECLBL,1
BCF673,DBText,"N.W.1/4 Sec. 31-47-8-W.5M.",C-SYMBOL,20.000000000000124
BCF674,DBText,"Well Site = 1.281 ha  3.16 Ac.",L-AREAREQUIRED,11.000000000000062
BCF68E,MText,"Fortis O/H Power Line",AS-POWER,10.000000000000062
BCF693,AlignedDimension,"Obsidian  A/R  2441",C-AR-T,Compass 5 000
BCF694,AlignedDimension,"Obsidian  A/R  2388",C-AR-T,Compass 5 000
BCF695,AlignedDimension,"Obsidian  Flow Line R/W  2388",C-AR-T,Compass 5 000
BCF696,AlignedDimension,"Obsidian  A/R  8223  be Cancelled)",C-AR-T,Compass 5 000
BCF697,AlignedDimension,"Obsidian  A/R  2439",C-AR-T,Compass 5 000
BCF698,AlignedDimension,"Obsidian  A/R  2391",C-AR-T,Compass 5 000
BCF699,AlignedDimension,"Obsidian  Flow Line R/W  8170  be Cancelled)",C-AR-T,Compass 5 000
BCF6A3,MText,"Obsidian 12-31 (Surface) ROE 2388",C-WS-T,10.000000000000062
BCF6A4,MText,"Obsidian 13-31 (Surface) MSL 8223 (Expired) (To be Cancelled)",C-WS-T,10.000000000000062
BCF6A5,MText,"Obsidian 14-31 (Surface) ROE 2391",C-WS-T,10.000000000000062
BCF6A6,MText,"Obsidian 11-31 (Surface) MSL 8170 (Expired) (To be Cancelled)",C-WS-T,10.000000000000062
BCF6AA,AlignedDimension,"Barrel  P/L R/W  162 4015  061303",F-AR-T,Compass 5 000
BCF6AC,AlignedDimension,"Fortis  Vegetation Control R/W  870399",F-EZE-T,Compass 5 000
BCF6B0,AlignedDimension,"Barrel  P/L R/W  052352",F-RW-T,Compass 5 000
BCF6B1,AlignedDimension,"Barrel  P/L R/W  062013",F-RW-T,Compass 5 000
BCF6B2,AlignedDimension,"Barrel  P/L R/W  052235",F-RW-T,Compass 5 000
BCF6B3,AlignedDimension,"Barrel  A/R  051458",F-RW-T,Compass 5 000
BCF6B9,MText,"Barrel 17.00 A/R LOC 241771",F-RW-T,10.000000000000062
BCF6BA,AlignedDimension,"Pembina  P/L R/W   151249",F-RW-T,Compass 5 000
BCF6BC,MText,"Barrel 14-31 (Surface) MSL 051458",F-WS-T,10.000000000000062
BCF6BD,MText,"Barrel Riser Site PIL 240319",F-WS-T,10.000000000000062
BCF6DC,AlignedDimension,"Pembina  P/L R/W  1639 KS  2477",F-RW-T,Compass 5 000
BCF6DD,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000062
BCF6DE,DBText,"(Undeveloped)",T-TEXT,10.000000000000062
BCF6DF,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000062
BCF6E0,DBText,"(Undeveloped)",T-TEXT,10.000000000000062
BCF6EB,AlignedDimension,"Barrel  P/L R/W  162 4015",F-RW-T,Compass 5 000
BCFA9E,MText,"Twp. 47",D-TXT,13.994998360000121
BCFA9F,MText,"Twp. 48",D-TXT,13.994998360000121
BCFAAD,MText,"Rge. 9",D-TXT,13.994998360000121
BCFAB6,MText,"Rge. 8",D-TXT,13.994998360000121
BD2564,MText,"L.S. 11",L-SECTION-LSD,9.996427400000057
BD2566,MText,"L.S. 12",L-SECTION-LSD,9.996427400000057
BD2568,MText,"L.S. 14",L-SECTION-LSD,9.996427400000057
BD2569,MText,"L.S. 13",L-SECTION-LSD,9.996427400000057
BD4D93,BlockReference,"GAS",C-WS-S,4.9982137000000275
BD4D94,BlockReference,"GAS",C-WS-S,4.9982137000000275
BD4D95,BlockReference,"GAS",C-WS-S,4.9982137000000275
BD4D96,BlockReference,"GAS",F-WS-S,4.9982137000000275
BD4DA0,BlockReference,"GAS",C-WS-S,4.9982137000000275
BD9797,BlockReference,"RISER",AS-SYMBOL,5.0000000000000275
BDA9B9,MText,"Fd.I. N.1/4 31",L-MON,9.988306848938537
BDABC3,BlockReference,"*U56",DETAIL-T,0.9996480100000065
BDCD06,BlockReference,"FDIBAR",L-MON,4.998213700000024
BDCD07,BlockReference,"FDIBAR",L-MON,4.998213700000024
BDDF19,MText,"Fd.I. 4 Pits N.E. 36",L-MON,9.996427400000046
BDF9B9,MText,"SEE DETAIL 'B'",DETAIL-T,15.994283840000092
BE568E,AlignedDimension,"Obsidian  P/L R/W  ______",C-RW-T,Compass 5 000
BE5E49,BlockReference,"plspike",L-MON,4.998213700000022
BE6916,DBText,"88°27'55''",L-BD,9.996427400000044
BE6A4E,MText,"318°26'40'' 193.00 (Tie)",L-BD,9.996427400000044
BE75EF,BlockReference,"RISER",AS-SYMBOL,4.998213700000022
BE75F0,BlockReference,"GAS",F-WS-S,4.998213700000022
BE75F3,BlockReference,"FDIBAR",L-MON,4.998213700000022
BE75F4,BlockReference,"FDIBAR",L-MON,4.998213700000022
BE761E,AlignedDimension,"30.18 A/R",P-TXT,Compass 5 000
BE8154,AlignedDimension,"Obsidian  A/R  8223  To be Cancelled)",C-AR-T,Compass 5 000
BE8184,AlignedDimension,"Fortis  Vegetation Control R/W  870399",F-EZE-T,Compass 5 000
BE81C6,AlignedDimension,"30.18 A/R",P-TXT,Compass 5 000
BE8211,DBText,"5m Medium Grade Gravel Road",T-TEXT,9.996427400000044
BE8D6C,DBText,"358°31'35",L-BD1,9.996427400000046
BE8D6E,DBText,"268°31'35"",L-BD1,9.996427400000046
BE97F5,MText,"Obsidian 13-31 (Surface) MSL 8223 (Expired, To be Cancelled)",C-WS-T,10.000000000000062
BE97FB,DBText,"Access Road = 0.893 ha  2.21 Ac.",L-AREAREQUIRED,11.000000000000062
BE97FC,MText,"W/H 13-31",C-WS-T,10.000000000000062
