Handle,ObjType,Content,Layer,Extra
AF3227,BlockReference,"L-SECLBL",L-SECLBL,1
AF322D,BlockReference,"L-SECLBL",L-SECLBL,1
AF3233,BlockReference,"L-SECLBL",L-SECLBL,1
AF3239,BlockReference,"L-SECLBL",L-SECLBL,1
AF323F,BlockReference,"L-SECLBL",L-SECLBL,1
AF3245,BlockReference,"L-SECLBL",L-SECLBL,1
AF324B,BlockReference,"L-SECLBL",L-SECLBL,1
AF32A1,MText,"Special Access Zone Boundary",AS-BOUNDARY,10.00525275769791
AF32AA,MText,"Special Access Zone Boundary",AS-BOUNDARY,9.994750000000117
AF32AC,MText,"Key Wildlife Biodiversity Zone Boundary",AS-BOUNDARY,9.994750000000117
AF32D8,MText,"Special Access Zone Boundary",AS-BOUNDARY,10.00525275769791
AF32DA,MText,"Special Access Zone Boundary",AS-BOUNDARY,10.00525275769791
AF32EC,MText,"Anterra 2-2 (Surface) MSL 951354 (Expired)",F-WS,10.00000000000005
AF3346,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF3347,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF3348,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF3349,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF334A,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF334B,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF334C,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF334D,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF334E,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF334F,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
AF3350,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991752320000058
AF3352,MText,"Theor. N.E.1/4  Sec. 29-64-16-W.5M.",C-SYMBOL,19.989690400000022
AF3362,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991752320000058
AF3364,MText,"Theor. N.W.1/4  Sec. 28-64-16-W.5M.",C-SYMBOL,19.989690400000022
AF3374,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991752320000058
AF3376,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991752320000058
AF3378,MText,"Theor. S.W.1/4 Sec. 33-64-16-W.5M.",C-SYMBOL,20.000000000000096
AF3379,MText,"Theor. S.E.1/4 Sec. 33-64-16-W.5M.",C-SYMBOL,20.0000000000001
AF337A,DBText,"Theor. S.W.1/4",C-SYMBOL,20.0000000000001
AF337B,DBText,"Sec. 34-64-16-W.5M.",C-SYMBOL,20.0000000000001
AF337C,DBText,"Theor. S.E.1/4",C-SYMBOL,20.0000000000001
AF337D,DBText,"Sec. 34-64-16-W.5M.",C-SYMBOL,20.0000000000001
AF337E,DBText,"Theor. N.W.1/4",C-SYMBOL,20.0000000000001
AF337F,DBText,"Sec. 35-64-16-W.5M.",C-SYMBOL,20.0000000000001
AF3380,DBText,"Theor. S.W.1/4",C-SYMBOL,20.0000000000001
