Handle,ObjType,Content,Layer,Extra
AF307B,BlockReference,"L-SECLBL",L-SECLBL,0.9995229999999999
AF3092,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992367999999985
AF309F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995229999999985
AF30A0,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995229999999985
AF30A5,MText,"L.S. 9",L-SECTION-LSD,9.995229999999985
AF30A7,MText,"L.S. 10",L-SECTION-LSD,9.995229999999985
AF30A9,MText,"L.S. 16",L-SECTION-LSD,9.995229999999985
AF30AB,MText,"L.S. 15",L-SECTION-LSD,9.995229999999985
AF548A,BlockReference,"*U23",L-SECLBL,0.9995229999999999
AF563E,AlignedDimension,"CNRL  P/L R/W  052 2700  970484",C-RW-T,Compass 5 000
AF566F,AlignedDimension,"CNRL  A/R  970171",C-AR-T,Compass 5 000
AF56A1,MText,"CNRL 10-12 (Surface) MSL 970262 (Expired)",C-AR,9.995229999999987
AF61D2,MText,"Clyde River",T-WATER-T,9.995229999999987
AF6B54,BlockReference,"GAS",C-WS-S,4.997614999999995
AF8CED,BlockReference,"Pile",0,2.9985689999999976
AF8CEF,BlockReference,"Pile",0,2.9985689999999976
AF8CF0,BlockReference,"Pile",0,2.9985689999999976
AF8CF1,BlockReference,"Pile",0,2.9985689999999976
AF8CF2,BlockReference,"Pile",0,2.9985689999999976
AF8CF3,BlockReference,"Pile",0,2.9985689999999976
AFA22D,BlockReference,"Pile",0,2.9985689999999976
AFA3D1,MText,"MW 'C'",0,9.995229999999998
AFA3ED,MText,"MW 'A'",0,9.995229999999998
AFA3EE,MText,"MW 'B'",0,9.995229999999998
AFA3EF,MText,"BH 'C'",0,9.995229999999998
AFA3F0,MText,"BH 'A'",0,9.995229999999998
AFA3F1,MText,"BH 'B'",0,9.995229999999998
AFA3F2,MText,"MW 'D'",0,9.995229999999998
AFB57B,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFB589,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFB58C,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFB5AC,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.9995229999999999
AFB5AF,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFB5B2,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFB5B5,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFBF46,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFBF49,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFC058,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFC05B,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFC061,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFC170,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFC173,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9995229999999999
AFCA73,BlockReference,"*U28",P-TEMP-BLOCKS,0.9995229999999999
AFCB03,BlockReference,"*U29",P-TEMP-BLOCKS,0.9995229999999999
AFCB33,BlockReference,"*U29",P-TEMP-BLOCKS,0.9995229999999999
AFCB4B,BlockReference,"*U31",P-TEMP-BLOCKS,0.9995229999999999
AFCB63,BlockReference,"*U31",P-TEMP-BLOCKS,0.9995229999999999
AFCCE3,BlockReference,"*U30",P-TEMP-BLOCKS,0.9995229999999999
AFCCFA,BlockReference,"*U29",P-TEMP-BLOCKS,0.9995229999999999
AFCD11,BlockReference,"*U31",P-TEMP-BLOCKS,0.9995229999999999
AFD865,BlockReference,"RP",35,0.9995229999999999
AFD9A2,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992367999999985
B0C3F8,MText,"Theor. N.E.1/4 Sec. 12-73-12-W.4M.",C-SYMBOL,19.99045999999997
B0CC5B,MText,"Rge. 12",D-TXT,13.993321999999994
B0CC5D,MText,"Rge. 11",D-TXT,13.993321999999994
B14F01,BlockReference,"Well_proximity",P-CROSSINGS,0.9995229999999999
B1798A,BlockReference,"*U32",L-SECLBL,0.9995229999999999
B17999,MText,"Theor. N.W.1/4 Sec. 7-73-11-W.4M.",C-SYMBOL,19.990459999999985
B219EC,BlockReference,"Pile",0,11.244633749999993
B220CD,BlockReference,"Pile",0,11.244633749999993
B220DA,BlockReference,"Pile",0,11.244633749999993
B22639,MText,"MW 'D'",0,9.995229999999998
B22640,MText,"MW 'B'",0,9.995229999999998
B22641,MText,"BH 'B'",0,9.995229999999998
B22655,MText,"SEE DETAIL 'B'",DETAIL-T,15.992367999999999
B2266A,MText,"DETAIL 'B' NOT TO SCALE",DETAIL-T,19.99046
B22835,BlockReference,"Pile",0,14.992844999999988
B2285C,MText,"MW 'C'",0,9.995229999999998
B2285D,BlockReference,"*U31",P-TEMP-BLOCKS,0.9995229999999999
B22872,BlockReference,"*U31",P-TEMP-BLOCKS,0.9995229999999999
B22887,BlockReference,"*U33",P-TEMP-BLOCKS,0.9995229999999999
B229E2,BlockReference,"*U33",P-TEMP-BLOCKS,0.9995229999999999
B229F7,BlockReference,"*U33",P-TEMP-BLOCKS,0.9995229999999999
B22A0C,BlockReference,"*U33",P-TEMP-BLOCKS,0.9995229999999999
B22A42,MText,"DETAIL 'A' NOT TO SCALE",DETAIL-T,19.99046
B22A46,DBText,"SEE",DETAIL-T,15.992367999999999
B22A48,MText,"DETAIL 'A'",DETAIL-T,15.992367999999999
B2B56B,BlockReference,"Disclaimer_Legal",0,0.28376292418574545
