Handle,ObjType,TextString,Layer,TextHeight
9E7650,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9E7656,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9E7670,MText,"Twp. 61",D-TXT,13.999999999999917
9E7671,MText,"Twp. 62",D-TXT,13.999999999999917
9E80C3,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,16
9F11B1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9F11B9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9F170D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9F1716,MText,"Twp. 61",D-TXT,13.999999999999917
9F1717,MText,"Twp. 62",D-TXT,13.999999999999917
9F1CE9,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,16
9F1CF1,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,16
9F2775,MText,"{\fArial Narrow|b0|i1|c0|p34;4m Trail}",T-TEXT,10.000000000000002
9F3F3C,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral \PDraw}",T-WATER-T,10.000000000000002
9F447F,MText,"\pxqc;Paramount\P5-4(Surface)\PMSL 010198",F-WS-T,10.000000000000002
B2A190,MText,"\pxqc;Water\PWell Piezometer\P(Unknown Owner)",0,10
B2A1A0,MText,"\pxqc;Water\PWell Piezometer\P(Unknown Owner)",0,10
B2C174,MText,"L.S. 1",L-SECTION-LSD,9.994627000000001
B2C175,MText,"\pxqr;L.S. 2",L-SECTION-LSD,9.994627000000001
B2C177,MText,"L.S. 8",L-SECTION-LSD,9.994627000000001
B2C178,MText,"\pxqr;L.S. 7",L-SECTION-LSD,9.994627000000001
B2D2AB,MText,"\pxql;L.S. 9",L-SECTION-LSD,9.994627000000001
B2D2AD,MText,"\pxqr;L.S. 10",L-SECTION-LSD,9.994627000000001
B2D2AF,MText,"\pxql;L.S. 16",L-SECTION-LSD,9.994627000000001
B2D2B1,MText,"\pxqr;L.S. 15",L-SECTION-LSD,9.994627000000001
B2F26E,MText,"\pxql;L.S. 11",L-SECTION-LSD,9.994627000000001
B2F270,MText,"\pxqr;L.S. 12",L-SECTION-LSD,9.994627000000001
B2F272,MText,"L.S. 14",L-SECTION-LSD,9.994627000000001
B2F273,MText,"\pxqr;L.S. 13",L-SECTION-LSD,9.994627000000001
B2FF94,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.9914032
B3172D,MText,"\pxqc;Pembina\P12.19 P/L R/W\PPlan 1132 KS\PROE 5906",F-RW-T,10
B3390C,MText,"Theor. S.W.1/4 \PSec. 5-62-19-W.5M.",C-SYMBOL,20
B35BB1,MText,"{\fArial Narrow|b0|i1|c0|p34;Fen}",WETLAND-T,10
B35BBB,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Wooded Coniferous Bog}",WETLAND-T,10
